nSub,nARC,thARC,T_mean,T_SD
1.75 ,2.75 ,0.60 ,0.6786583382445780 ,0.0363951569382552 
1.75 ,2.75 ,0.80 ,0.6296301549655730 ,0.0211672572831552 
1.75 ,2.75 ,1.00 ,0.6288494473179720 ,0.0186919827991076 
1.75 ,3.00 ,0.00 ,0.9261682537191030 ,0.0002680681357414 
1.75 ,3.00 ,0.20 ,0.8502246299962700 ,0.0220713735254429 
1.75 ,3.00 ,0.40 ,0.7048710997596380 ,0.0428751685885958 
1.75 ,3.00 ,0.60 ,0.6006498343585080 ,0.0377535525404299 
1.75 ,3.00 ,0.80 ,0.5595463758817910 ,0.0149840539533724 
1.75 ,3.00 ,1.00 ,0.5823310971612160 ,0.0411059534441962 
2.00 ,1.00 ,0.00 ,0.8899555995239040 ,0.0004707662547005 
2.00 ,1.00 ,0.20 ,0.8906977902791660 ,0.0007279501140152 
2.00 ,1.00 ,0.40 ,0.8888885075972410 ,0.0000006210694386 
2.00 ,1.00 ,0.60 ,0.8888881115659520 ,0.0000017931449527 
2.00 ,1.00 ,0.80 ,0.8888904570152660 ,0.0000034789413907 
2.00 ,1.00 ,1.00 ,0.8888915859856740 ,0.0000280110850924 
2.00 ,1.25 ,0.00 ,0.8899555994665590 ,0.0004707662302622 
2.00 ,1.25 ,0.20 ,0.8929694533705400 ,0.0005174534179712 
2.00 ,1.25 ,0.40 ,0.8971162712403440 ,0.0024860065669755 
2.00 ,1.25 ,0.60 ,0.9067948796670790 ,0.0052409345521688 
2.00 ,1.25 ,0.80 ,0.9192051382297890 ,0.0084049669578810 
2.00 ,1.25 ,1.00 ,0.9332206569320030 ,0.0113453457615603 
2.00 ,1.50 ,0.00 ,0.8899555994665290 ,0.0004707662302770 
2.00 ,1.50 ,0.20 ,0.8944722872203930 ,0.0006912955626777 
2.00 ,1.50 ,0.40 ,0.9018849338858040 ,0.0038906079579424 
2.00 ,1.50 ,0.60 ,0.9167791747029070 ,0.0079650228471171 
2.00 ,1.50 ,0.80 ,0.9350738810482520 ,0.0120781016165034 
2.00 ,1.50 ,1.00 ,0.9542796337333740 ,0.0149699051524626 
2.00 ,1.75 ,0.00 ,0.8899555994730340 ,0.0004707662297306 
2.00 ,1.75 ,0.20 ,0.8918239112408390 ,0.0008964062481365 
2.00 ,1.75 ,0.40 ,0.9001405925179170 ,0.0033052746802344 
2.00 ,1.75 ,0.60 ,0.9123934825385720 ,0.0063550719931438 
2.00 ,1.75 ,0.80 ,0.9263294148358560 ,0.0087391926486238 
2.00 ,1.75 ,1.00 ,0.9393931515177440 ,0.0090517177357616 
2.00 ,2.00 ,0.00 ,0.8899555995299030 ,0.0004707662540876 
2.00 ,2.00 ,0.20 ,0.8888898863715160 ,0.0000019618342905 
2.00 ,2.00 ,0.40 ,0.8888894012362150 ,0.0000005171321522 
2.00 ,2.00 ,0.60 ,0.8888958778644690 ,0.0000702705882813 
2.00 ,2.00 ,0.80 ,0.8889555685654140 ,0.0002518852870682 
2.00 ,2.00 ,1.00 ,0.8890530798942040 ,0.0004659949354823 
2.00 ,2.25 ,0.00 ,0.8899555995298380 ,0.0004707662540489 
2.00 ,2.25 ,0.20 ,0.8824838637525130 ,0.0019194769257330 
2.00 ,2.25 ,0.40 ,0.8658893705233950 ,0.0062181392561419 
2.00 ,2.25 ,0.60 ,0.8453581698714440 ,0.0098894362074199 
2.00 ,2.25 ,0.80 ,0.8277110436732900 ,0.0102674744599872 
2.00 ,2.25 ,1.00 ,0.8176219310858360 ,0.0064923952655675 
2.00 ,2.50 ,0.00 ,0.8899555994668150 ,0.0004707662304154 
2.00 ,2.50 ,0.20 ,0.8717141006982550 ,0.0050485939862262 
2.00 ,2.50 ,0.40 ,0.8303383692211320 ,0.0148048702594157 
2.00 ,2.50 ,0.60 ,0.7853114696254810 ,0.0202435169899553 
2.00 ,2.50 ,0.80 ,0.7532517037254220 ,0.0166104016917930 
2.00 ,2.50 ,1.00 ,0.7423711367144260 ,0.0071037821440575 
2.00 ,2.75 ,0.00 ,0.8899555995296790 ,0.0004707662539751 
2.00 ,2.75 ,0.20 ,0.8558189348904480 ,0.0094847663397182 
2.00 ,2.75 ,0.40 ,0.7832260274324900 ,0.0244653280247699 
2.00 ,2.75 ,0.60 ,0.7152899362530390 ,0.0280053597056141 
2.00 ,2.75 ,0.80 ,0.6770289126306780 ,0.0169966800109200 
2.00 ,2.75 ,1.00 ,0.6764668872959160 ,0.0146663796334533 
2.00 ,3.00 ,0.00 ,0.8899555995239230 ,0.0004707662547266 
2.00 ,3.00 ,0.20 ,0.8342956800201280 ,0.0151670024070342 
2.00 ,3.00 ,0.40 ,0.7271594713478290 ,0.0336406557349846 
2.00 ,3.00 ,0.60 ,0.6424646172300920 ,0.0318869087086074 
2.00 ,3.00 ,0.80 ,0.6075872703858050 ,0.0130839321358642 
2.00 ,3.00 ,1.00 ,0.6267303877960200 ,0.0347013110440030 
2.25 ,1.00 ,0.00 ,0.8540267720220000 ,0.0007727494875469 
2.25 ,1.00 ,0.20 ,0.8520708041482860 ,0.0000004818261338 
2.25 ,1.00 ,0.40 ,0.8520705666854690 ,0.0000008633599126 
2.25 ,1.00 ,0.60 ,0.8520719759974270 ,0.0000027388564443 
2.25 ,1.00 ,0.80 ,0.8520750895278720 ,0.0000292273947868 
2.25 ,1.00 ,1.00 ,0.8520796989825330 ,0.0000839636321065 
2.25 ,1.25 ,0.00 ,0.8540267720219960 ,0.0007727494876215 
2.25 ,1.25 ,0.20 ,0.8545317111189740 ,0.0007570513622618 
2.25 ,1.25 ,0.40 ,0.8617425868315390 ,0.0029301754632825 
2.25 ,1.25 ,0.60 ,0.8731744475493910 ,0.0061703111874897 
2.25 ,1.25 ,0.80 ,0.8879246011307170 ,0.0099500788079377 
2.25 ,1.25 ,1.00 ,0.9047174921760920 ,0.0135300202253345 
2.25 ,1.50 ,0.00 ,0.8540267720170180 ,0.0007727494882985 
2.25 ,1.50 ,0.20 ,0.8564587915891470 ,0.0013483054104591 
2.25 ,1.50 ,0.40 ,0.8692319544207020 ,0.0051674329476511 
2.25 ,1.50 ,0.60 ,0.8891492605904190 ,0.0106488682667060 
2.25 ,1.50 ,0.80 ,0.9140209086982450 ,0.0164226009346866 
2.25 ,1.50 ,1.00 ,0.9405422745907600 ,0.0207366048098792 
2.25 ,1.75 ,0.00 ,0.8540267719019460 ,0.0007727493907671 
2.25 ,1.75 ,0.20 ,0.8572005428403060 ,0.0015716170637980 
2.25 ,1.75 ,0.40 ,0.8718985813341560 ,0.0058826401132452 
2.25 ,1.75 ,0.60 ,0.8940096284958890 ,0.0115407828382618 
2.25 ,1.75 ,0.80 ,0.9198534393916520 ,0.0163553445521415 
2.25 ,1.75 ,1.00 ,0.9441984346698980 ,0.0177988973392844 
2.25 ,2.00 ,0.00 ,0.8540267719094610 ,0.0007727493900859 
2.25 ,2.00 ,0.20 ,0.8560085177651750 ,0.0012008399787213 
2.25 ,2.00 ,0.40 ,0.8669750482451940 ,0.0042810132066308 
2.25 ,2.00 ,0.60 ,0.8825093789365020 ,0.0077438893559532 
2.25 ,2.00 ,0.80 ,0.8989045523667170 ,0.0095035777209779 
2.25 ,2.00 ,1.00 ,0.9115405414153940 ,0.0081479838015965 
2.25 ,2.25 ,0.00 ,0.8540267718993230 ,0.0007727493910098 
2.25 ,2.25 ,0.20 ,0.8520710735199540 ,0.0000001904368487 
2.25 ,2.25 ,0.40 ,0.8520724225349790 ,0.0000695342372932 
2.25 ,2.25 ,0.60 ,0.8521422155927080 ,0.0002725524462222 
2.25 ,2.25 ,0.80 ,0.8522222204472760 ,0.0004287417899768 
2.25 ,2.25 ,1.00 ,0.8522708412981690 ,0.0007166387047728 
2.25 ,2.50 ,0.00 ,0.8540267719091480 ,0.0007727493900011 
2.25 ,2.50 ,0.20 ,0.8445803017667690 ,0.0022263523742735 
2.25 ,2.50 ,0.40 ,0.8258223358496810 ,0.0069463872817306 
2.25 ,2.50 ,0.60 ,0.8043465153771380 ,0.0101720500025829 
2.25 ,2.50 ,0.80 ,0.7882308968906930 ,0.0087650033984946 
2.25 ,2.50 ,1.00 ,0.7824783521631160 ,0.0035436656861513 
2.25 ,2.75 ,0.00 ,0.8540267719509090 ,0.0007727494516357 
2.25 ,2.75 ,0.20 ,0.8328029044083620 ,0.0056106174231207 
2.25 ,2.75 ,0.40 ,0.7882949184947370 ,0.0155560089454540 
2.25 ,2.75 ,0.60 ,0.7439378619420980 ,0.0190905346478487 
2.25 ,2.75 ,0.80 ,0.7177227238654610 ,0.0119936683733865 
2.25 ,2.75 ,1.00 ,0.7170561910670210 ,0.0106140116365403 
2.25 ,3.00 ,0.00 ,0.8540267719087240 ,0.0007727493898961 
2.25 ,3.00 ,0.20 ,0.8161725420825760 ,0.0101761935563465 
