nSub,nARC,thARC,T_mean,T_SD
2.75,1.75,0.6,0.84985544,0.019072182
2.75,1.75,0.8,0.893854736,0.028465817
2.75,1.75,1,0.937072886,0.032285171
2.75,2,0,0.782221032,1.97E-07
2.75,2,0.2,0.791398074,0.002774642
2.75,2,0.4,0.817730799,0.010359412
2.75,2,0.6,0.856994643,0.020030961
2.75,2,0.8,0.900515325,0.02675335
2.75,2,1,0.936207225,0.024034751
2.75,2.25,0,0.782221032,1.97E-07
2.75,2.25,0.2,0.790882457,0.002579404
2.75,2.25,0.4,0.815056872,0.009241576
2.75,2.25,0.6,0.848683638,0.016358849
2.75,2.25,0.8,0.881323785,0.018345275
2.75,2.25,1,0.901019674,0.012221819
2.75,2.5,0,0.782221032,1.97E-07
2.75,2.5,0.2,0.788040419,0.001701946
2.75,2.5,0.4,0.803638772,0.005603576
2.75,2.5,0.6,0.823258917,0.008768313
2.75,2.5,0.8,0.838946077,0.008363915
2.75,2.5,1,0.84461137,0.003710952
2.75,2.75,0,0.782221032,1.97E-07
2.75,2.75,0.2,0.782232496,9.00E-05
2.75,2.75,0.4,0.782394855,0.00041864
2.75,2.75,0.6,0.782401781,0.000612097
2.75,2.75,0.8,0.782218936,4.52E-06
2.75,2.75,1,0.782219284,3.00E-06
2.75,3,0,0.782221032,1.97E-07
2.75,3,0.2,0.772891542,0.002826106
2.75,3,0.4,0.751364196,0.007909391
2.75,3,0.6,0.730502972,0.009086377
2.75,3,0.8,0.720709562,0.003679427
2.75,3,1,0.725924441,0.009393913
3,1,0,0.750002116,2.45E-05
3,1,0.2,0.750001954,7.67E-05
3,1,0.4,0.750019493,0.000102645
3,1,0.6,0.750039936,7.50E-05
3,1,0.8,0.750159634,0.000348309
3,1,1,0.750129086,0.0003451
3,1.25,0,0.750002116,2.45E-05
3,1.25,0.2,0.753048186,0.000868742
3,1.25,0.4,0.762026099,0.003528906
3,1.25,0.6,0.776441546,0.007503472
3,1.25,0.8,0.79521162,0.012472253
3,1.25,1,0.81686283,0.017372724
3,1.5,0,0.750002116,2.45E-05
3,1.5,0.2,0.756146373,0.001823495
3,1.5,0.4,0.774282355,0.007177819
3,1.5,0.6,0.803272552,0.015412084
